school,K,1,2,3,4,5,6+,All
Cardinal,NA,NA,108,NA,NA,20,47,175
Edgewood,NA,51,NA,50,71,89,NA,261
Fremont Pathfinder,72,79,NA,NA,NA,NA,NA,151
Hesperia St. Clair,NA,77,25,NA,NA,NA,NA,102
Montague Mac,21,NA,NA,NA,NA,NA,NA,21
Oakview,21,29,59,20,39,20,21,209
RP Central,NA,54,106,83,84,NA,NA,327
RPEL,NA,93,109,110,128,NA,NA,440
RP Twin Lake,NA,NA,NA,53,NA,NA,NA,53
studywide,114,383,407,316,322,129,68,1739
